Date,ITCRM ,ITCRB Brasil,ITCRB Estados Unidos
2000-09-01,73.105,84.4634327,77.238495
2000-09-02,73.118,84.4742229,77.2558356
2000-09-03,73.132,84.4850146,77.27318
2000-09-04,73.134,84.4958076,77.2905284
2000-09-05,72.73,84.3213227,77.3078806
2000-09-06,72.335,84.3320948,77.3252368
2000-09-07,72.433,84.3428683,77.3425968
2000-09-08,72.225,84.3536432,77.3599608
2000-09-09,72.238,84.3644194,77.3773286
2000-09-10,72.252,84.3751971,77.3947004
2000-09-11,72.134,84.3859761,77.412076
2000-09-12,72.293,84.3967564,77.4294555
2000-09-13,72.252,84.4075382,77.446839
2000-09-14,72.246,84.4183213,77.4642263
2000-09-15,72.133,84.4291058,77.4816176
2000-09-16,72.147,84.4398917,77.4990127
2000-09-17,72.16,84.450679,77.5164118
2000-09-18,71.724,83.4102176,77.5338148
2000-09-19,71.648,83.4208733,77.5512216
2000-09-20,71.672,83.4315304,77.5686324
2000-09-21,71.92,83.4421888,77.5860471
2000-09-22,72.423,83.4528486,77.6034657
2000-09-23,72.437,83.4635098,77.6208882
2000-09-24,72.45,83.4741723,77.6383146
2000-09-25,72.446,83.9848581,77.655745
2000-09-26,72.619,83.9955873,77.6731792
2000-09-27,72.574,84.0063178,77.6906174
2000-09-28,72.715,84.0170496,77.7080595
2000-09-29,72.739,84.0277829,77.7255055
2000-09-30,72.752,84.0385175,77.7429554
2000-10-01,72.751,84.0373252,77.7426774
2000-10-02,72.574,83.6264234,77.7423994
2000-10-03,72.466,83.625237,77.7421215
2000-10-04,72.407,83.6240505,77.7418435
2000-10-05,72.279,83.6228641,77.7415655
2000-10-06,72.308,83.6216777,77.7412876
2000-10-07,72.307,83.6204913,77.7410096
2000-10-08,72.306,83.6193049,77.7407316
2000-10-09,72.302,83.6181186,77.7404537
2000-10-10,72.174,83.256046,77.7401757
2000-10-11,72.228,83.2548648,77.7398977
2000-10-12,72.105,83.2536836,77.7396198
2000-10-13,72.017,83.2525025,77.7393418
2000-10-14,72.016,83.2513213,77.7390639
2000-10-15,72.016,83.2501402,77.7387859
2000-10-16,72.015,83.2489591,77.738508
2000-10-17,71.721,83.247778,77.73823
2000-10-18,71.79,83.2465969,77.737952
2000-10-19,71.524,83.2454158,77.7376741
2000-10-20,71.555,83.2442347,77.7373961
2000-10-21,71.554,83.2430537,77.7371182
2000-10-22,71.553,83.2418727,77.7368402
2000-10-23,70.94,81.6551224,77.7365623
2000-10-24,70.966,81.6539639,77.7362843
2000-10-25,70.646,81.6528054,77.7360064
2000-10-26,70.779,81.6516469,77.7357285
2000-10-27,70.779,81.6504885,77.7354505
2000-10-28,70.778,81.6493301,77.7351726
2000-10-29,70.777,81.6481717,77.7348946
2000-10-30,70.776,81.6470133,77.7346167
2000-10-31,70.798,80.3701673,77.7343387
2000-11-01,71.061,80.3919257,77.7515679
2000-11-02,71.113,80.41369,77.7688009
2000-11-03,71.269,80.4354601,77.7860378
2000-11-04,71.287,80.4572362,77.8032784
2000-11-05,71.304,80.4790181,77.8205229
2000-11-06,71.322,80.5008059,77.8377712
2000-11-07,70.902,79.365238,77.8550233
